MeSH,PMID,abstract,title,chemical
[],31368101,"coronary spasm plays an important role in the pathogenesis of ischemic heart disease, including angina pectoris, acute myocardial infarction (ami), silent myocardial ischemia, and sudden death. the prevalence of coronary spasm is higher among east asians probably due to genetic as well as environmental factors. aldh2 eliminates toxic aldehydes including 4 hydroxy 2 nonenal (4 hne) derived from lipid peroxidation and acrolein in tobacco smoking as well as ethanol derived acetaldehyde and thereby protects tissues and cells from oxidative damage. deficient variant aldh2*2 genotype is prevalent among east asians and is a significant risk factor for both coronary spasm and ami through accumulation of toxic aldehydes, thereby contributing to oxidative stress, endothelial damage, vasoconstriction, and thrombosis. toxic aldehydes are thus identified as risk factors to be targeted for the treatment of coronary spasm and ami.",Association of East Asian Variant Aldehyde Dehydrogenase 2 Genotype (ALDH2*2*) with Coronary Spasm and Acute Myocardial Infarction.,4-hydroxy-2-nonenal (4-HNE)
"['Acetylcholinesterase', 'metabolism', 'Aldehydes', 'metabolism', 'Animals', 'Brain', 'drug effects', 'metabolism', 'Cerebellum', 'drug effects', 'metabolism', 'Cerebral Cortex', 'drug effects', 'metabolism', 'Convulsants', 'toxicity', 'Cysteine Proteinase Inhibitors', 'metabolism', 'Hippocampus', 'drug effects', 'metabolism', 'Lipid Peroxidation', 'drug effects', 'Male', 'Malondialdehyde', 'metabolism', 'Nitrogen Oxides', 'metabolism', 'Rats', 'Rats, Wistar', 'Seizures', 'chemically induced', 'metabolism', 'Soman', 'toxicity', 'Visual Cortex', 'drug effects', 'metabolism']",10463393,"we have investigated the effect of soman induced seizures on rat brain levels of nitrogen oxides (nox) and lipid peroxidation (lpo) 30 min and 24 h after intoxication. following administration of soman (90 microg/kg s.c.), acetylcholinesterase activity was reduced to <10% of control after 30 min, whereas some de novo synthesis had occurred after 24 h. significant increases in the lpo products malondialdehyde (mda) and (e) 4 hydroxy 2 nonenal (4 hne) were seen in the cortex, hippocampus, striatum, thalamus and medulla pons 30 min after administration. a significant increase in the brain nox levels, suggesting an increase in no production, was seen in the cortex after 30 min and in the hippocampus and the striatum after 24 h. no significant changes were observed in cerebellum. these data suggest the possibility that free radical reactions may be a primary cause of neuronal degeneration after soman intoxication.",Increased levels of nitrogen oxides and lipid peroxidation in the rat brain after soman-induced seizures.,4-hydroxy-2-nonenal (4-HNE)
"['Aldehydes', 'chemistry', 'Amines', 'chemistry', 'Benzylamines', 'chemistry', 'Hydrogen-Ion Concentration', 'Magnetic Resonance Spectroscopy', 'Oxidation-Reduction', 'Phenethylamines', 'chemistry', 'Pyrroles', 'chemistry', 'Sulfhydryl Compounds', 'chemistry']",8448343,"the reaction of trans 4 hydroxy 2 nonenal (4 hne) with primary amines was investigated to elucidate chemistry that may clarify the nature of its physiological covalent binding with protein based primary amino groups. such binding of 4 hne, generated endogenously from lipid peroxidation, appears to be a pathophysiologic factor in the modification of low density lipoprotein and perhaps other instances. we now show that 4 hne reacts with primary amines in aqueous acetonitrile at ph 7.8 to afford after workup, in 14 23% yield, the corresponding pyrroles, which were characterized by independent synthesis from 4 oxononanal. additional, mostly unstable adducts are also formed, some of which eventually ""age"" to the pyrrole. hydride reduction after initial adduct formation permits the isolation of more stable materials, one of which has been identified as the reduced amine michael addition product. pyrrole formation may constitute a physiologically important reaction of 4 hydroxyalkenals.",Pyrrole formation from 4-hydroxynonenal and primary amines.,4-hydroxy-2-nonenal (4-HNE)
"['Animals', 'Blood-Brain Barrier', 'metabolism', 'pathology', 'Brain Ischemia', 'genetics', 'pathology', 'prevention & control', 'Disease Models, Animal', 'Gene Expression Regulation', 'Glycogen Synthase Kinase 3 beta', 'genetics', 'Humans', 'Ischemic Preconditioning', 'methods', 'Kelch-Like ECH-Associated Protein 1', 'genetics', 'Lipid Peroxidation', 'genetics', 'Mice', 'NF-E2-Related Factor 2', 'genetics', 'Proteolysis', 'Stroke', 'genetics', 'pathology', 'prevention & control']",29775963,"brain ischemic preconditioning (ipc) with mild ischemic episodes is well known to protect the brain against subsequent ischemic challenges. however, the underlying mechanisms are poorly understood. here we demonstrate the critical role of the master redox transcription factor, nuclear factor (erythroid derived 2) like 2 (nrf2), in ipc mediated neuroprotection and blood brain barrier (bbb) preservation. we report that ipc causes generation of endogenous lipid electrophiles, including 4 hydroxy 2 nonenal (4 hne), which release nrf2 from inhibition by keap1 (via keap1 c288) and inhibition by glycogen synthase kinase 3β (via gsk3β c199). nrf2 then induces expression of its target genes, including a new target, cadherin 5, a key component of adherens junctions of the bbb. these effects culminate in mitigation of bbb leakage and of neurological deficits after stroke. collectively, these studies are the first to demonstrate that ipc protects the bbb against ischemic injury by generation of endogenous electrophiles and activation of the nrf2 pathway through inhibition of keap1  and gsk3β dependent nrf2 degradation.",Brain ischemic preconditioning protects against ischemic injury and preserves the blood-brain barrier via oxidative signaling and Nrf2 activation.,4-hydroxy-2-nonenal (4-HNE)
"['Alzheimer Disease', 'drug therapy', 'enzymology', 'pathology', 'Animals', 'Apoptosis', 'drug effects', 'Cell Line, Tumor', 'Glutathione', 'metabolism', 'Glutathione Peroxidase', 'metabolism', 'MAP Kinase Signaling System', 'drug effects', 'Mice', 'Mitochondria', 'drug effects', 'metabolism', 'Models, Biological', 'Neuroprotective Agents', 'chemistry', 'pharmacology', 'therapeutic use', 'Oxidative Stress', 'drug effects', 'Piperidines', 'chemistry', 'pharmacology', 'therapeutic use', 'bcl-2-Associated X Protein', 'metabolism']",30218858,"excessive production of amyloid β (aβ) induced by familial mutations in amyloid precursor protein (app) and presenilin 1 (ps1) results in neuronal oxidative insults, mitochondrial dysfunction, and apoptosis, which play an essential role in the pathological development of alzheimer's disease (ad). aloperine, a quinolizidine alkaloid derived from the leaves of the sophora plant, has displayed multiple pharmacological functions in several chronic diseases. in the current study, we investigated the neuro protective effects of aloperine against cytotoxicity in mouse neuro2a (n2a) cells transfected with swedish amyloid precursor protein (swe app) mutant and presenilin 1 exon 9 deletion mutant (n2a/swe.d9). we found that aloperine ameliorated oxidative stress patterns in n2a/swe.d9 cells by reducing the production of reactive oxygen species (ros) and 4 hydroxy 2 nonenal (4 hne). additionally, aloperine treatment led to elevated generation of atp and increased mitochondrial membrane potential (mmp) in n2a/swe.d9 cells. importantly, we found that aloperine treatment reduced the vulnerability of n2a/swe.d9 cells to h",Neuro-protective effects of aloperine in an Alzheimer's disease cellular model.,4-hydroxy-2-nonenal (4-HNE)
"['Aldehydes', 'pharmacology', 'Bone Marrow Cells', 'drug effects', 'metabolism', 'Cells, Cultured', 'Cysteine Proteinase Inhibitors', 'pharmacology', 'Endothelial Cells', 'drug effects', 'metabolism', 'Humans', 'Intercellular Signaling Peptides and Proteins', 'biosynthesis', 'genetics', 'Membrane Proteins', 'biosynthesis', 'genetics', 'Neovascularization, Physiologic', 'drug effects', 'Promoter Regions, Genetic', 'drug effects', 'Up-Regulation']",19056352,"the aim of the present study was to investigate the effects of 4 hydroxy 2 nonenal (4 hne) on tube formation by human bone marrow endothelial cells (hbmec). we found that 4 hne at physiologically achievable concentrations (5 and 10 microm) inhibited the formation of tubes. western blot analysis revealed that inhibition of tube formation by 4 hne was associated with increased expression of chondromodulin i (chm i), a protein with well known anti angiogenic properties. cell viability assays showed that 4 hne at concentrations of 10 microm or less did not cause hbmec cell death. luciferase reporter assays did not show any inducing effect of 4 hne on the promoter activity of human chm i gene indicating that post transcriptional or post translational modifications may account for the up regulation of chm i. collectively, the results of the present study show for the first time that 4 hne inhibits tube formation by hbmecs indicating a potential anti angiogenic activity of 4 hne. this inhibition occurs at least in part via 4 hne induced chm i protein expression.",4-HNE inhibits tube formation and up-regulates chondromodulin-I in human endothelial cells.,4-hydroxy-2-nonenal (4-HNE)
"['Aldehydes', 'chemical synthesis', 'Arachidonic Acid', 'chemistry', 'Cations, Divalent', 'Gas Chromatography-Mass Spectrometry', 'Iron', 'chemistry', 'pharmacology', 'Leukotrienes', 'chemistry', 'Lipid Peroxidation', 'Lipid Peroxides', 'chemistry', 'Magnetic Resonance Spectroscopy', 'Models, Chemical', 'Nickel', 'chemistry', 'pharmacology', 'Oxidation-Reduction', 'drug effects', 'Thiobarbituric Acid Reactive Substances', 'analysis']",12667605,"ni(2+), a toxic, carcinogenic and allergenic agent, affected both the kinetic and chemical courses of the fe(2+) induced oxidation of arachidonic acid (aa) in 0.05 m phosphate buffer (ph 7.4) and at 37 degrees c. at 10 microm concentration, ni(2+) decreased the rate of oxidation of peroxide free aa (200 microm) promoted by 50 microm fe(2+), as determined by measurement of thiobarbituric acid reactive species (tbars) and 1h nmr analysis. however, in the presence of low levels of peroxides (e.g. 2%), ni(2+) exerted a significant stimulatory effect on fe(2+) induced aa oxidation and tbars formation. 1h nmr analysis showed that ni(2+) (10 microm) enhanced formation of genotoxic alkenals including 4 hydroxy 2 nonenal (4 hne, gc/ms evidence) by fe(2+) promoted degradation of both aa and 15 hydroperoxy 5,8,11,13 eicosatetraenoic acid (15 hpete) methyl esters. the observed stimulatory effects of ni(2+) on peroxide breakdown and cytotoxic aldehyde formation provide an attractive explanation to the enhanced sensitization capacity of nickel in inflammatory states compared to normal states.",Ni2+ enhances Fe2+/peroxide-induced oxidation of arachidonic acid and formation of geno/cytotoxic 4-hydroxynonenal: a possible contributory mechanism in nickel toxicity and allergenicity.,4-hydroxy-2-nonenal (4-HNE)
"['Animals', 'Antineoplastic Agents', 'pharmacology', 'Cell Division', 'drug effects', 'Colonic Neoplasms', 'prevention & control', 'Humans', 'Neovascularization, Pathologic', 'prevention & control', 'Nitric Oxide', 'physiology', 'Oxidative Stress', 'Vitamin B 6', 'pharmacology']",12686121,"epidemiological studies have reported an inverse association between vitamin b(6) intake and colon cancer risk. our recent study has been conducted to examine the effect of dietary vitamin b(6) on colon tumorigenesis in mice. mice were fed diets containing 1, 7, 14 or 36 mg/kg pyridoxine for 22 weeks, and given a weekly injection of azoxymethane (aom) for the initial 10 weeks. compared with the 1 mg/kg pyridoxine diet, 7, 14 and 35 mg/kg pyridoxine diets significantly suppressed the incidence and number of colon tumors, colon cell proliferation and expressions of c myc and c fos proteins. supplemental vitamin b(6) lowered the levels of colonic 8 hydroxyguanosine (8 ohdg), 4 hydroxy 2 nonenal (4 hne, oxidative stress markers) and inducible nitric oxide (no) synthase protein. in an ex vivo serum free matrix culture model using rat aortic ring, supplemental pyridoxine and pyridoxal 5' phosphate (plp) had antiangiogenic effect. the results suggest that dietary vitamin b(6) suppresses colon tumorigenesis by reducing cell proliferation, oxidative stress, no production and angiogenesis.",Antitumor effect of vitamin B6 and its mechanisms.,4-hydroxy-2-nonenal (4-HNE)
"['Aldehydes', 'metabolism', 'Arabidopsis', 'metabolism', 'microbiology', 'Ascorbic Acid', 'metabolism', 'Botrytis', 'growth & development', 'pathogenicity', 'Electron Spin Resonance Spectroscopy', 'Free Radicals', 'metabolism', 'Lipid Peroxidation', 'Malondialdehyde', 'metabolism', 'Oxidative Stress', 'Plant Diseases', 'microbiology', 'Plant Leaves', 'metabolism', 'microbiology']",11807124,"infection of leaves of arabidopsis thaliana with conidial suspensions of the necrotrophic pathogen botrytis cinerea resulted in a large decrease in the level of ascorbic acid and increases in intensity of a single peak free radical and fe(iii) (g=4.27) signals in electron paramagnetic resonance (epr) spectra. these changes were not confined to the spreading lesions or associated areas of chlorosis, but extended to other apparently healthy tissues in the infected leaves. they are, therefore, consistent with the existence of high levels of oxidative stress being generated as a result of the infection process. the expected accompanying increases in levels of the aldehydic products of lipid peroxidation, malondialdehyde (mda) and 4 hydroxy 2 nonenal (4 hne), were not observed, and in the case of mda the levels in tissue from infected plants were appreciably lower than in the healthy controls. these last findings are surprising and demonstrate a difference in the response of a. thaliana to infection with b. cinerea compared with tissues from other plant families studied previously.","Infection of leaves of Arabidopsis thaliana by Botrytis cinerea: changes in ascorbic acid, free radicals and lipid peroxidation products.",4-hydroxy-2-nonenal (4-HNE)
"['Animals', 'Apoptosis', 'drug effects', 'Carrier Proteins', 'metabolism', 'Cell Survival', 'drug effects', 'Cells, Cultured', 'Chromans', 'pharmacology', 'Dose-Response Relationship, Drug', 'Ferric Compounds', 'chemistry', 'pharmacology', 'Fluoresceins', 'chemistry', 'metabolism', 'Hydrogen Peroxide', 'antagonists & inhibitors', 'toxicity', 'Hydroxyl Radical', 'metabolism', 'In Situ Nick-End Labeling', 'methods', 'Lipid Peroxidation', 'drug effects', 'Male', 'Mice', 'Mice, Inbred Strains', 'N-Methylaspartate', 'administration & dosage', 'toxicity', 'Oxidative Stress', 'drug effects', 'Rats', 'Reactive Oxygen Species', 'metabolism', 'Retina', 'cytology', 'drug effects', 'metabolism', 'Retinal Diseases', 'metabolism', 'pathology', 'prevention & control', 'Retinal Ganglion Cells', 'cytology', 'drug effects', 'metabolism', 'Xanthophylls', 'chemistry', 'pharmacology']",18812030,"we have investigated whether astaxanthin exerted neuroprotective effects in retinal ganglion cells in vitro and in vivo. in vitro, retinal damage was induced by 24 h hydrogen peroxide (h2o2) exposure or serum deprivation, and cell viability was measured using a wst assay. in cultured retinal ganglion cells (rgc 5, a rat ganglion cell line transformed using e1a virus), astaxanthin inhibited the neurotoxicity induced by h2o2 or serum deprivation, and reduced the intracellular oxidation induced by various reactive oxygen species (ros). furthermore, astaxanthin decreased the radical generation induced by serum deprivation in rgc 5. in mice in vivo, astaxanthin (100 mg kg( 1), p.o., four times) reduced the retinal damage (a decrease in retinal ganglion cells and in thickness of inner plexiform layer) induced by intravitreal n methyl d aspartate (nmda) injection. furthermore, astaxanthin reduced the expressions of 4 hydroxy 2 nonenal (4 hne) modified protein (indicator of lipid peroxidation) and 8 hydroxy deoxyguanosine (8 ohdg; indicator of oxidative dna damage). these findings indicated that astaxanthin had neuroprotective effects against retinal damage in vitro and in vivo, and that its protective effects may have been partly mediated via its antioxidant effects.","Astaxanthin, a dietary carotenoid, protects retinal cells against oxidative stress in-vitro and in mice in-vivo.",4-hydroxy-2-nonenal (4-HNE)
