MeSH,PMID,abstract,title,drug
"['Actinomycetales', 'chemistry', 'enzymology', 'Adenosine Triphosphate', 'metabolism', 'Amino Acid Sequence', 'Chromatography, Ion Exchange', 'Cytoplasm', 'enzymology', 'Kinetics', 'Molecular Sequence Data', 'Phosphorylation', 'Phosphotransferases', 'chemistry', 'physiology', 'Phosphotransferases (Alcohol Group Acceptor)', 'biosynthesis', 'isolation & purification', 'physiology', 'Substrate Specificity']",8784428,"a phosphotransferase which modifies the alpha glucosidase inhibitor acarbose by phosphorylation at its 7 position was isolated from the acarbose producer actinoplanes sp. and purified to homogeneity. the sequence of the first 20 amino acids of the enzyme was determined. the enzyme is an atp dependent kinase and shows high specificity for acarbose and some related compounds containing the pseudodisaccharide moiety (acarviosin). the product formed by the enzyme, acarbose 7 phosphate, shows a significant lower inhibitory activity towards disaccharidases than acarbose itself. the acarbose producing organism contains a maltase which is inhibited by acarbose, but to a much lesser extent by acarbose 7 phosphate. the possible role of acarbose 7 phospho transferase as part of a self defense mechanism against acarbose in the producing organism is discussed.","Acarbose 7-phosphotransferase from Actinoplanes sp.: purification, properties, and possible physiological function.",Acarbose
"['Acarbose', 'Adult', 'Blood Glucose', 'metabolism', 'Clinical Trials as Topic', 'Double-Blind Method', 'Drug Therapy, Combination', 'Female', 'Humans', 'Hydrogen', 'metabolism', 'Hypoglycemia', 'drug therapy', 'Insulin', 'blood', 'Male', 'Middle Aged', 'Oligosaccharides', 'therapeutic use', 'Pectins', 'therapeutic use', 'Postgastrectomy Syndromes', 'drug therapy', 'Trisaccharides', 'therapeutic use']",6350115,"in a double blind study we have compared the effect of 50 mg acarbose, 100 mg acarbose, 4.2 g pectin, a combination of 50 mg acarbose with 4.2 g pectin, and placebo on plasma glucose, plasma insulin, breath hydrogen and hypoglycaemic symptoms after a normal carbohydrate rich meal in nine patients with previous gastric surgery. fifty milligrams acarbose, 100 mg acarbose and the combination of 50 mg acarbose with 4.2 g pectin significantly inhibited the postprandial peak glucose concentration (p less than 0.01). the lowest plasma glucose concentration, observed 60 150 minutes after ingestion of the meal, was significantly increased by the addition of 50 mg acarbose (p less than 0.01) and the combination of acarbose with pectin (p less than 0.05). the combination of acarbose with pectin was the only treatment that significantly inhibited the plasma insulin peak (p less than 0.05). eight of nine patients had symptoms of hypoglycaemia on placebo, two on 50 mg acarbose (p less than 0.05), two on 100 mg acarbose (p less than 0.05), five on pectin (ns), and two on the combination of acarbose and pectin (p less than 0.05). all treatments with acarbose induced significant increases in breath hydrogen excretion (p less than 0.05).","Effect of acarbose, pectin, a combination of acarbose with pectin, and placebo on postprandial reactive hypoglycaemia after gastric surgery.",Acarbose
"['Acarbose', 'Adult', 'Aged', 'Blood Glucose', 'metabolism', 'Breath Tests', 'Cross-Over Studies', 'Diabetes Mellitus, Type 2', 'drug therapy', 'Double-Blind Method', 'Enzyme Inhibitors', 'adverse effects', 'pharmacokinetics', 'therapeutic use', 'Female', 'Glycoside Hydrolase Inhibitors', 'Humans', 'Hydrogen', 'metabolism', 'Hypoglycemic Agents', 'adverse effects', 'pharmacokinetics', 'therapeutic use', 'Male', 'Middle Aged', 'Trisaccharides', 'adverse effects', 'pharmacokinetics', 'therapeutic use', 'alpha-Galactosidase', 'adverse effects', 'therapeutic use']",9663365,"acarbose is an alpha glucosidase inhibitor approved for the treatment of type 2 diabetes mellitus. acarbose inhibits carbohydrate digestion, allowing an excessive amount of undigested carbohydrate to reach the colon. bacterial fermentation of the carbohydrate produces intestinal gas, which can cause flatulence and abdominal pain. beano, an over the counter enzyme preparation (alpha galactosidase), diminishes intestinal gas production by enhancing the breakdown of certain carbohydrates before they reach the lower intestine. this study was undertaken to investigate whether concomitant administration of beano and acarbose could reduce the flatulence associated with acarbose and, if so, whether beano would interfere with the effects of acarbose on postprandial serum glucose concentration. in this randomized, double masked, placebo controlled, three period crossover study, 37 patients with type 2 diabetes mellitus received acarbose 100 mg, acarbose 100 mg plus beano, or placebo. the study population consisted of 20 males and 17 females who ranged in age from 36 to 72 years (mean, 56 years) and in weight from 62 to 142 kg (mean, 92 kg). each treatment period consisted of 3 days, during which both acarbose and beano were given at the beginning of each of three meals. there was a 4 day washout interval between each treatment period. the frequency and severity of flatulence were measured using a score compiled from patient diaries. as an additional measure of intestinal gas production, breath hydrogen concentration was measured on day 3 of each treatment period. postprandial serum glucose concentration was measured at predetermined times after each morning dose to assess pharmacodynamic activity. patients who took beano with acarbose had a significantly lower flatulence score than did those who took acarbose alone (0.79 vs 1.09). consistent with this finding, breath hydrogen concentration was lower after administration of acarbose plus beano than with acarbose alone (31.2 ppm vs 50.5 ppm). beano had variable effects on the ability of acarbose to reduce the postprandial serum glucose concentration. although postprandial serum glucose levels were higher in patients who received acarbose plus beano than in those who received acarbose alone, both treatments (with or without beano) resulted in postprandial serum glucose levels that were significantly lower than those seen with placebo. therefore, although beano appeared to diminish the activity of acarbose, postprandial serum glucose concentrations still decreased significantly in patients taking beano with acarbose. beano has been shown to alleviate the flatulence accompanying acarbose treatment, but it may also interfere with the glucose lowering effect of acarbose.",Effects of beano on the tolerability and pharmacodynamics of acarbose.,Acarbose
"['Acarbose', 'administration & dosage', 'Animals', 'Body Weight', 'drug effects', 'physiology', 'Eating', 'drug effects', 'physiology', 'Enzyme Inhibitors', 'administration & dosage', 'Female', 'Gene Expression', 'drug effects', 'physiology', 'Glucose', 'metabolism', 'Glucose Transporter Type 1', 'Glucose Transporter Type 2', 'Hypoglycemic Agents', 'administration & dosage', 'Insulin', 'blood', 'Intestinal Absorption', 'drug effects', 'physiology', 'Intestine, Small', 'drug effects', 'metabolism', 'Male', 'Membrane Glycoproteins', 'biosynthesis', 'metabolism', 'Monosaccharide Transport Proteins', 'biosynthesis', 'metabolism', 'Perfusion', 'Rabbits', 'Rats', 'Rats, Wistar', 'Sodium', 'metabolism', 'Sodium-Glucose Transporter 1', 'Up-Regulation', 'drug effects']",11779583,"as alpha glucosidase inhibitor, the antidiabetic drug acarbose reduces postprandial glucose levels by retarding the intestinal digestion of polysaccharides. however, it is unknown if acarbose also affects the expression of intestinal glucose transporters, especially the na(+) glucose cotransporter (sglt1) and the glucose transporters glut1 and glut2. to unravel this question, wistar rats received standard powdered chow either without (control) or with acarbose (40 mg acarbose/100 g chow) for 40 days. while food intake was slightly enhanced by acarbose, the drug had no influence on weight gain or plasma glucose and insulin levels. the acarbose treatment did not alter the sglt1 and glut2 gene expression in both upper and middle small intestine, whereas glut1 protein was increased by 75% in middle small intestine. despite the territorial change in glut1 protein, the intestinal glucose absorption in an acarbose free perfusion study was unaltered. in conclusion, the chronic use of acarbose did not alter the acarbose free glucose absorption profile.",Chronic acarbose-feeding increases GLUT1 protein without changing intestinal glucose absorption function.,Acarbose
"['Acarbose', 'Aged', 'Blood Glucose', 'metabolism', 'Diabetes Mellitus, Type 2', 'blood', 'diet therapy', 'drug therapy', 'Double-Blind Method', 'Female', 'Glycated Hemoglobin A', 'metabolism', 'Humans', 'Hypoglycemic Agents', 'therapeutic use', 'Insulin', 'blood', 'Lipids', 'blood', 'Male', 'Metformin', 'therapeutic use', 'Middle Aged', 'Single-Blind Method', 'Time Factors', 'Treatment Outcome', 'Trisaccharides', 'therapeutic use']",9428831,"to compare the therapeutic potential of acarbose, metformin, or placebo as first line treatment in patients with non insulin dependent diabetes mellitus (niddm).
ninety six patients with niddm (35 70 years of age, body mass index (bmi) < or = 35 kg/m2, insufficiently treated with diet alone, glycated hemoglobin (hba1c; 7% to 11%) were randomized into 3 groups and treated for 24 weeks with acarbose, 3 x 100 mg/day, or metformin, 2 x 850 mg/day, or placebo. efficacy, based on hba1c (primary efficacy criterion), fasting blood glucose (bg) and insulin, 1 hour postprandial bg and insulin (after standard meal test), postprandial insulin increase, plasma lipid profile, and tolerability, based on subjective symptoms and laboratory values were determined every 6 weeks. analysis of covariance was performed for endvalues with adjustment on baseline values. ninety four patients were valid for efficacy evaluation.
both active drugs showed the same improvement of efficacy criteria compared with placebo. baseline adjusted means at endpoint were as follows: bg, fasting and 1 hour postprandial, 9.2 mm and 10.9 mm with placebo, 7.6 mm and 8.7 mm with acarbose, and 7.8 mm and 9.0 mm with metformin; hba1c was 9.8% with placebo, 8.5% with acarbose, and 8.7% with metformin. comparisons: acarbose versus placebo and metformin versus placebo were statistically significant, but not acarbose versus metformin. no effect on fasting insulin could be observed. relative postprandial insulin increase was 1.90 with placebo, 1.09 with acarbose, and 1.03 with metformin. comparisons: acarbose versus placebo and metformin versus placebo were statistically significant, but not acarbose versus metformin. with respect to lipid profile, acarbose was superior to metformin. low density lipoprotein (ldl)/high density lipoprotein (hdl) cholesterol ratio increased by 14.4% with placebo, was unchanged with metformin, but decreased by 26.7% with acarbose. comparisons: acarbose versus placebo and acarbose versus metformin were statistically significant, but not metformin versus placebo. slight body weight changes were observed with acarbose ( 0.8 kg) and metformin ( 0.5 kg), but not with placebo. acarbose led to mild or moderate intestinal symptoms in 50% of the patients within the first 4 weeks, but in only 13.8% of the patients within the last 4 weeks.
acarbose and metformin are effective drugs for the first line monotherapy of patients with niddm. with respect to plasma lipid profile, especially hdl cholesterol, ldl cholesterol and ldl/hdl cholesterol ratio acarbose may be superior to metformin.","Efficacy of 24-week monotherapy with acarbose, metformin, or placebo in dietary-treated NIDDM patients: the Essen-II Study.",Acarbose
"['Acarbose', 'Blood Glucose', 'metabolism', 'Diabetes Mellitus, Type 1', 'blood', 'drug therapy', 'Diabetes Mellitus, Type 2', 'blood', 'drug therapy', 'Eating', 'Glycoside Hydrolase Inhibitors', 'Humans', 'Hypoglycemia', 'drug therapy', 'prevention & control', 'Hypoglycemic Agents', 'therapeutic use', 'Sulfonylurea Compounds', 'therapeutic use', 'Trisaccharides', 'pharmacology', 'therapeutic use']",8001627,"this paper reviews the use of acarbose in the prevention and treatment of hypoglycaemia. in diet  or sulfonylurea treated patients, acarbose may reduce the incidence of late postprandial hypoglycaemia. in insulin treated patients, acarbose treatment usually requires reduction of the insulin dose; one study has shown that 100 mg acarbose at night significantly reduces the incidence of mid evening and nocturnal hypoglycaemia. several studies have suggested acarbose to be a useful adjunct to the management of reactive hypoglycaemia in the non diabetic patients. long term prospective studies are still needed to document this last indication of acarbose or other alpha glycosidase inhibitors.",The use of acarbose in the prevention and treatment of hypoglycaemia.,Acarbose
"['Acarbose', 'adverse effects', 'therapeutic use', 'Aged', 'Blood Glucose', 'metabolism', 'Cholesterol', 'blood', 'Diabetes Mellitus, Type 2', 'blood', 'diet therapy', 'drug therapy', 'Female', 'Food', 'Glycated Hemoglobin A', 'metabolism', 'Humans', 'Hypoglycemic Agents', 'therapeutic use', 'Male', 'Metformin', 'adverse effects', 'therapeutic use', 'Middle Aged', 'Placebos', 'Sulfonylurea Compounds', 'therapeutic use', 'Triglycerides', 'blood', 'Weight Loss']",10510952,"to compare the efficacy and safety of acarbose and metformin when added to sulphonylurea therapy in diabetic patients insufficiently controlled with sulphonylureas alone.
a 12 week, single centre, placebo controlled study, with 89 patients randomized to receive acarbose (100 mg t.d.s.), metformin (850 mg b.d.) or placebo in addition to their sulphonylurea therapy. the study was double blinded with respect to acarbose/placebo and single blinded for metformin/ acarbose and metformin/placebo. patients started a strict dietary regimen 1 week before receiving their first dose of acarbose, metformin or placebo. this regimen was individually adjusted to metabolic status and energy requirements.
the primary endpoint, hba1c, decreased from baseline in all three groups after 12 weeks. the decrease was greater in the two groups receiving active therapy compared with placebo (acarbose  2.3+/ 0.32%; metformin  2.5+/ 0.16%; placebo  1.3+/ 0.34%). there was no significant difference between acarbose and metformin (p=0.65). differences between both active therapies and placebo were statistically significant (acarbose p < or = 0.01; metformin p < or = 0.004). reductions in body weight over the treatment period were seen in all three groups and were greatest in the acarbose group (median weight reduction: acarbose 3.5 kg; metformin, 1.0 kg; placebo 1.4 kg). there were no significant differences in the incidence of gastrointestinal side effects between the three groups and all regimens were generally well tolerated.
the results of the study demonstrate the equivalence of acarbose and metformin for improving metabolic control in patients insufficiently controlled with diet and sulphonylureas.","Comparison of acarbose and metformin in patients with Type 2 diabetes mellitus insufficiently controlled with diet and sulphonylureas: a randomized, placebo-controlled study.",Acarbose
"['Acarbose', 'analogs & derivatives', 'pharmacology', 'Animals', 'Bacillus', 'enzymology', 'Chromatography, Thin Layer', 'Enzyme Inhibitors', 'pharmacology', 'Glucose', 'metabolism', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Pancreas', 'enzymology', 'Saliva', 'enzymology', 'Swine', 'alpha-Amylases', 'antagonists & inhibitors', 'metabolism']",14499573,"acarbose analogues, 4iv maltohexaosyl acarbose (g6 aca) and 4iv maltododecaosyl acarbose (g12 aca), were prepared by the reaction of cyclomaltodextrin glucanyltransferase with cyclomaltohexaose and acarbose. the inhibition kinetics of acarbose and the two acarbose analogues were studied for four different alpha amylases: aspergillus oryzae, bacillus amyloliquefaciens, human salivary, and porcine pancreatic alpha amylases. the three inhibitors showed mixed, noncompetitive inhibition, for all four alpha amylases. the acarbose inhibition constants, ki, for the four alpha amylases were 270, 13, 1.27, and 0.80 microm, respectively; the ki values for g6 aca were 33, 37, 14, and 7 nm, respectively; and the g12 aca ki constants were 59, 81, 18, and 11 nm, respectively. the g6 aca and g12 aca analogues are the most potent alpha amylase inhibitors observed, with ki values one to three orders of magnitude more potent than acarbose, which itself was one to three orders of magnitude more potent than other known alpha amylase inhibitors.",Study of the inhibition of four alpha amylases by acarbose and its 4IV-alpha-maltohexaosyl and 4IV-alpha-maltododecaosyl analogues.,Acarbose
"['Adult', 'Animals', 'Blood Glucose', 'analysis', 'Digestion', 'drug effects', 'Eating', 'drug effects', 'Energy Intake', 'drug effects', 'Female', 'Glucosidases', 'antagonists & inhibitors', 'Glycoside Hydrolase Inhibitors', 'Humans', 'Insulin', 'blood', 'Male', 'Middle Aged', 'Obesity', 'blood', 'enzymology', 'Rats', 'Rats, Inbred Strains', 'Trisaccharides', 'pharmacology']",3914827,"acarbose is an alpha glucosidase inhibitor which reversibly and competitively inhibits the digestion of oligo  and disaccharides at the brush border of the small intestine. this study evaluates the preventive and therapeutic properties of acarbose in the treatment of obesity. dose response experiments were performed during repeated sucrose loads in man in order to investigate the effects of acarbose on plasma insulin and blood glucose levels. after titration of efficient doses, a long term tolerance test of acarbose was undertaken in a small pilot study. finally, the relapse preventing effect of acarbose was tested during double blind cross over conditions in 24 weight reduced obese women. in growing sprague dawley rats, the effects of acarbose on body weight, lipid depots and adipose tissue cellularity were tested during pair feeding and ad libitum conditions. such effects were also studied in adult ad libitum fed rats. blood glucose, plasma insulin, body fat, depot lipids as well as fat cell weight and number were determined with established techniques. during a sucrose load, acarbose reduced insulin in a dose dependent fashion. glucose was also reduced, but not dose dependently and only to a moderate extent. during a 200 g sucrose load, 400 mg of acarbose did not necessarily result in a maximal reduction of the insulin response while the glucose response was maximally inhibited after 100 mg. acarbose reduced the relapse rate after weight reduction. no serious side effects were observed. flatulence and meteorism occurred frequently. in growing rats, acarbose retarded the development of body weight and of lipid depots not only during pair feeding conditions but also in ad libitum fed animals eating considerably more than their controls. the spontaneous food consumption was increased by acarbose also in adult rats but in these animals neither body weight nor lipid depots were significantly reduced by acarbose. it is concluded that acarbose induces a carbohydrate malabsorption. insulin levels are reduced not only via a decreased glycemic stimulus but also by interference with other insulin releasing mechanism(s). acarbose is the first drug ever tested with long term relapse reducing effects after weight reduction. animal experiments suggest that acarbose may be of value in the prevention of obesity, particularly since the drug retards lipid accumulation also during ad libitum feeding.",alpha-Glucosidase inhibition in obesity.,Acarbose
"['Acarbose', 'Blood Glucose', 'analysis', 'Diabetes Mellitus', 'drug therapy', 'Drug Tolerance', 'Gastric Inhibitory Polypeptide', 'blood', 'Gastrointestinal Hormones', 'blood', 'Glucagon-Like Peptides', 'blood', 'Glucosidases', 'antagonists & inhibitors', 'Humans', 'Insulin', 'blood', 'Oligosaccharides', 'therapeutic use', 'Trisaccharides', 'pharmacology', 'therapeutic use']",6393444,"12 months therapy with acarbose in 143 type i and type ii patients markedly improved the metabolic control, assessed by fasting and postprandial blood glucose determination. during 5 year acarbose treatment gip levels were decreased and enteroglucagon levels were elevated. after withdrawal of the drug for one week gip levels increased and enteroglucagon concentrations fell. thus, gi hormone changes were reversible after discontinuation of acarbose. tolerability of acarbose was good and clinical chemistry and haematology parameters showed no changes after 1 5 years acarbose therapy. approximately 60% of the patients had intestinal symptoms which subsided again for most patients after 1 4 weeks therapy with acarbose. body weight remained unchanged. the glucosidase inhibitor acarbose is a new effective and safe therapeutic concept in the treatment of diabetes mellitus.","Long-term treatment in diabetics with acarbose, a glucosidase inhibitor: efficacy, tolerability and effect on GI hormones.",Acarbose
