Drug,Pathway,Species,edgeLength,IoOS,OoOS,RoOS,drug
warfarin [cytosol],Chaperone Mediated Autophagy,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Pink/Parkin Mediated Mitophagy,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Receptor Mediated Mitophagy,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Microautophagy,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Amplification of signal from the kinetochores,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Inactivation of APC/C via direct inhibition of the APC/C complex,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Mitotic Spindle Checkpoint,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],MAPK3 (ERK1) activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],MAPK1 (ERK2) activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],RAF-independent MAPK1/3 activation,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Orc1 removal from chromatin,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CDT1 association with the CDC6:ORC:origin complex,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Assembly of the pre-replicative complex,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],CDK-mediated phosphorylation and removal of Cdc6,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Switching of origins to a post-replicative state,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Synthesis of DNA,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Condensation of Prometaphase Chromosomes,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Resolution of Sister Chromatid Cohesion,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Separation of Sister Chromatids,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Mitotic Metaphase and Anaphase,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Golgi Cisternae Pericentriolar Stack Reorganization,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Regulation of PLK1 Activity at G2/M Transition,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Loss of Nlp from mitotic centrosomes,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
warfarin [cytosol],Loss of proteins required for interphase microtubule organization from the centrosome,Homo sapiens,2.0,0.077811762686816,0.26160269908206085,0.16402557208899976,warfarin
