Drug,Reaction,Intermediate Node,Intermediate Class,Pathway,IoOS,OoOS,RoOS
warfarin [cytosol],VKORC1 inhibitors binds VKORC1 dimer,VKORC1 inhibitors [cytosol],DefinedSet,Metabolism of vitamin K,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],VKORC1 inhibitors binds VKORC1 dimer,Warfarin traps human vitamin K epoxide reductase in an intermediate state during electron transfer,LiteratureReference,Metabolism of vitamin K,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],VKORC1 inhibitors binds VKORC1 dimer,Warfarin and vitamin K compete for binding to Phe55 in human VKOR,LiteratureReference,Metabolism of vitamin K,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],VKORC1 inhibitors binds VKORC1 dimer,"Pharmacogenetic-guided dosing of coumarin anticoagulants: algorithms for warfarin, acenocoumarol and phenprocoumon",LiteratureReference,Metabolism of vitamin K,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],VKORC1 inhibitors binds VKORC1 dimer,"[On the history of vitamin K, dicoumarol and warfarin]",LiteratureReference,Metabolism of vitamin K,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],Factor Xa inhibitors bind Va:Xa,pulmonary embolism,Disease,Common Pathway of Fibrin Clot Formation,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],Factor Xa inhibitors binds Xa,pulmonary embolism,Disease,Common Pathway of Fibrin Clot Formation,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],Factor IIa inhibitors (compounds) binds IIa,pulmonary embolism,Disease,Intrinsic Pathway of Fibrin Clot Formation,0.077811762686816,0.26160269908206085,0.16402557208899976
warfarin [cytosol],Factor IIa inhibitors (peptide) binds IIa,pulmonary embolism,Disease,Intrinsic Pathway of Fibrin Clot Formation,0.077811762686816,0.26160269908206085,0.16402557208899976
rivaroxaban [extracellular region],Factor Xa inhibitors bind Va:Xa,Factor Xa inhibitors [extracellular region],DefinedSet,Common Pathway of Fibrin Clot Formation,0.07486239918688363,0.06942869249294856,0.05487664818826107
rivaroxaban [extracellular region],Factor Xa inhibitors binds Xa,Factor Xa inhibitors [extracellular region],DefinedSet,Common Pathway of Fibrin Clot Formation,0.07486239918688363,0.06942869249294856,0.05487664818826107
rivaroxaban [extracellular region],Factor Xa inhibitors bind Va:Xa,"Discovery of the novel antithrombotic agent 5-chloro-N-({(5S)-2-oxo-3- [4-(3-oxomorpholin-4-yl)phenyl]-1,3-oxazolidin-5-yl}methyl)thiophene- 2-carboxamide (BAY 59-7939): an oral, direct factor Xa inhibitor",LiteratureReference,Common Pathway of Fibrin Clot Formation,0.07486239918688363,0.06942869249294856,0.05487664818826107
rivaroxaban [extracellular region],Factor Xa inhibitors binds Xa,"Discovery of the novel antithrombotic agent 5-chloro-N-({(5S)-2-oxo-3- [4-(3-oxomorpholin-4-yl)phenyl]-1,3-oxazolidin-5-yl}methyl)thiophene- 2-carboxamide (BAY 59-7939): an oral, direct factor Xa inhibitor",LiteratureReference,Common Pathway of Fibrin Clot Formation,0.07486239918688363,0.06942869249294856,0.05487664818826107
rivaroxaban [extracellular region],Factor Xa inhibitors bind Va:Xa,pulmonary embolism,Disease,Common Pathway of Fibrin Clot Formation,0.07486239918688363,0.06942869249294856,0.05487664818826107
rivaroxaban [extracellular region],Factor Xa inhibitors binds Xa,pulmonary embolism,Disease,Common Pathway of Fibrin Clot Formation,0.07486239918688363,0.06942869249294856,0.05487664818826107
